Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
Albania,2005,"Fibres; synthetic filament tow, of nylon or other polyamides",Import,4296,1071,Weight in kilograms,1071
Albania,2005,"Fibres; synthetic filament tow, of synthetic materials n.e.c. in heading no. 5501",Import,10970,2765,Weight in kilograms,2765
Albania,2005,Fibres; artificial filament tow,Import,5280,1967,Weight in kilograms,1967
Albania,2005,"Synthetic staple fibres, not carded/combed/othw. processed for spinning, of ...",Import,406,95,Weight in kilograms,95
Albania,2005,"Fibres; synthetic staple fibres, acrylic or modacrylic, not carded, combed or otherwise processed for spinning",Import,1533,408,Weight in kilograms,408
Albania,2005,"Fibres; synthetic staple fibres, of polypropylene, not carded, combed or otherwise processed for spinning",Import,11538,22401,Weight in kilograms,22401
Albania,2005,"Fibres; synthetic staple fibres, of synthetic materials n.e.c. in heading no. 5503, not carded, combed or otherwise processed for spinning",Import,4684,1021,Weight in kilograms,1021
Albania,2005,"Fibres; artificial staple fibres, of viscose, not carded, combed or otherwise processed for spinning",Import,35,30,Weight in kilograms,30
Albania,2005,"Fibres; waste (including noils, yarn waste and garnetted stock), of synthetic fibres",Import,382504,801672,Weight in kilograms,801672
Albania,2005,"Fibres; waste (including noils, yarn waste and garnetted stock), of synthetic fibres",Export,198,100,Weight in kilograms,100
Albania,2005,"Fibres; waste (including noils, yarn waste and garnetted stock), of artificial fibres",Import,1267,1239,Weight in kilograms,1239
Albania,2005,"Fibres; synthetic staple fibres, of nylon or other polyamides, carded, combed or otherwise processed for spinning",Import,2562,2261,Weight in kilograms,2261
Albania,2005,"Fibres; synthetic staple fibres, acrylic or modacrylic, carded, combed or otherwise processed for spinning",Import,99663,27450,Weight in kilograms,27450
Albania,2005,"Fibres; synthetic staple fibres, n.e.c. in heading no. 5506, carded, combed or otherwise processed for spinning",Import,31107,8750,Weight in kilograms,8750
Albania,2005,"Sewing thread; of synthetic staple fibres, whether or not put up for retail sale",Import,37048,8608,Weight in kilograms,8608
Albania,2005,"Sewing thread; of artificial staple fibres, whether or not put up for retail sale",Import,2886,1176,Weight in kilograms,1176
Albania,2005,"Yarn; (not sewing thread), single, of synthetic staple fibres, containing 85% or more by weight of nylon or other polyamides, not put up for retail sale",Import,2136,473,Weight in kilograms,473
Albania,2005,"Yarn; (not sewing thread), multiple (folded) or cabled yarn, of synthetic staple fibres, containing 85% or more by weight of nylon or other polyamides, not put up for retail sale",Import,36409,9300,Weight in kilograms,9300
Albania,2005,"Yarn; (not sewing thread), single, of synthetic staple fibres, containing 85% or more by weight of polyester, not put up for retail sale",Import,6376,3163,Weight in kilograms,3163
Albania,2005,"Yarn; (not sewing thread), multiple (folded) or cabled yarn, of synthetic staple fibres, containing 85% or more by weight of polyester, not put up for retail sale",Import,451,66,Weight in kilograms,66
Albania,2005,"Yarn; (not sewing thread), single, of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic, not put up for retail sale",Import,19220,4811,Weight in kilograms,4811
Albania,2005,"Yarn; (not sewing thread), multiple (folded) or cabled, of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic, not put up for retail sale",Import,45985,12554,Weight in kilograms,12554
