"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"hudtnwq  ","P",04/04/2025 9:45,0,0,"",18.1,<0> ,0.26,<0> ,0.1,<0> ,101.4,<0> ,9.6,<0> ,0.17,<0> ,0.09,<3> ,"",<-1> ,"","",7.5,<0> ,1,<0> ,-0.1,<-4> ,
"hudtnwq  ","P",04/04/2025 10:00,0,0,"",18.2,<0> ,0.27,<0> ,0.1,<0> ,101.4,<0> ,9.6,<0> ,0.17,<0> ,0.09,<3> ,"",<-1> ,"","",7.5,<0> ,1,<0> ,0.0,<0> ,
"hudtnwq  ","P",04/04/2025 10:15,0,0,"",18.2,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.6,<0> ,0.17,<0> ,0.09,<3> ,"",<-1> ,"","",7.6,<0> ,1,<0> ,0.0,<0> ,
"hudtnwq  ","P",04/04/2025 10:30,0,0,"",18.3,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.6,<0> ,0.17,<0> ,0.09,<3> ,"",<-1> ,"","",7.6,<0> ,1,<0> ,0.0,<0> ,
"hudtnwq  ","P",04/04/2025 10:45,0,0,"",18.3,<0> ,0.27,<0> ,0.1,<0> ,101.4,<0> ,9.5,<0> ,0.16,<0> ,0.08,<3> ,"",<-1> ,"","",7.6,<0> ,1,<0> ,0.0,<0> ,
"hudtnwq  ","P",04/04/2025 11:00,0,0,"",18.3,<0> ,0.27,<0> ,0.1,<0> ,101.4,<0> ,9.5,<0> ,0.17,<0> ,0.1,<3> ,"",<-1> ,"","",7.6,<0> ,1,<0> ,0.0,<0> ,
"hudtnwq  ","P",04/04/2025 11:15,0,0,"",18.4,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.5,<0> ,0.17,<0> ,0.1,<3> ,"",<-1> ,"","",7.6,<0> ,1,<0> ,0.0,<0> ,
"hudtnwq  ","P",04/04/2025 11:30,0,0,"",18.4,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.5,<0> ,0.17,<0> ,0.1,<3> ,"",<-1> ,"","",7.6,<0> ,1,<0> ,-0.1,<-4> ,
"hudtnwq  ","P",04/04/2025 11:45,0,0,"",18.4,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.5,<0> ,0.17,<0> ,0.1,<3> ,"",<-1> ,"","",7.6,<0> ,1,<0> ,0.0,<0> ,
"hudtnwq  ","P",04/04/2025 12:00,0,0,"",18.5,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.5,<0> ,0.16,<0> ,0.09,<3> ,"",<-1> ,"","",7.6,<0> ,1,<0> ,-0.1,<-4> ,
"hudtnwq  ","P",04/04/2025 12:15,0,0,"",18.5,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.5,<0> ,0.16,<0> ,0.09,<3> ,"",<-1> ,"","",7.6,<0> ,1,<0> ,0.0,<0> ,
"hudtnwq  ","P",04/04/2025 12:30,0,0,"",18.6,<0> ,0.0,<0> ,0.0,<0> ,101.4,<0> ,9.5,<0> ,0.2,<0> ,0.13,<3> ,"",<-1> ,"","",7.4,<0> ,3,<0> ,0.8,<0> ,
"hudtnwq  ","P",04/04/2025 12:45,0,0,"",20.0,<0> ,0.0,<0> ,0.0,<0> ,101.9,<0> ,9.3,<0> ,0.25,<0> ,0.18,<3> ,"",<-1> ,"","",6.4,<0> ,3,<0> ,0.9,<0> ,
"hudtnwq  ","P",04/04/2025 13:15,0,0,"",20.5,<0> ,0.0,<0> ,0.0,<0> ,101.4,<0> ,9.1,<0> ,0.22,<0> ,0.15,<3> ,"",<-1> ,"","",7.3,<0> ,19,<0> ,1.2,<0> ,
