"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"hudtnwq  ","P",07/07/1999 15:00,1,0,"",29.2,<4> ,0.19,<4> ,0.1,<4> ,87.0,<4> ,6.7,<4> ,0.89,<4> ,"","","",<-1> ,"","",7.3,<4> ,5,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 15:30,1,0,"",28.8,<4> ,0.19,<4> ,0.1,<4> ,81.0,<4> ,6.3,<4> ,0.97,<4> ,"","","",<-1> ,"","",7.3,<4> ,10,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 16:00,1,0,"",28.8,<4> ,0.19,<4> ,0.1,<4> ,87.2,<4> ,6.7,<4> ,1.11,<4> ,"","","",<-1> ,"","",7.5,<4> ,11,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 16:30,1,0,"",28.3,<4> ,0.19,<4> ,0.1,<4> ,93.9,<4> ,7.3,<4> ,1.31,<4> ,"","","",<-1> ,"","",7.7,<4> ,7,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 17:00,1,0,"",28.3,<4> ,0.19,<4> ,0.1,<4> ,94.9,<4> ,7.4,<4> ,1.48,<4> ,"","","",<-1> ,"","",7.8,<4> ,8,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 17:30,1,0,"",28.2,<4> ,0.19,<4> ,0.1,<4> ,94.0,<4> ,7.3,<4> ,1.65,<4> ,"","","",<-1> ,"","",7.8,<4> ,13,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 18:00,1,0,"",28.1,<4> ,0.2,<4> ,0.1,<4> ,93.5,<4> ,7.3,<4> ,1.81,<4> ,"","","",<-1> ,"","",7.7,<4> ,11,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 18:30,1,0,"",28.0,<4> ,0.2,<4> ,0.1,<4> ,92.1,<4> ,7.2,<4> ,1.95,<4> ,"","","",<-1> ,"","",7.7,<4> ,9,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 19:00,1,0,"",28.0,<4> ,0.2,<4> ,0.1,<4> ,90.8,<4> ,7.1,<4> ,2.06,<4> ,"","","",<-1> ,"","",7.7,<4> ,9,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 19:30,1,0,"",27.9,<4> ,0.2,<4> ,0.1,<4> ,89.0,<4> ,7.0,<4> ,2.14,<4> ,"","","",<-1> ,"","",7.7,<4> ,8,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 20:00,1,0,"",27.9,<4> ,0.2,<4> ,0.1,<4> ,88.2,<4> ,6.9,<4> ,2.2,<4> ,"","","",<-1> ,"","",7.7,<4> ,7,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 20:30,1,0,"",27.8,<4> ,0.2,<4> ,0.1,<4> ,85.6,<4> ,6.7,<4> ,2.25,<4> ,"","","",<-1> ,"","",7.6,<4> ,3,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 21:00,1,0,"",27.7,<4> ,0.2,<4> ,0.1,<4> ,86.0,<4> ,6.8,<4> ,2.25,<4> ,"","","",<-1> ,"","",7.6,<4> ,4,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 21:30,1,0,"",27.7,<4> ,0.2,<4> ,0.1,<4> ,86.2,<4> ,6.8,<4> ,2.21,<4> ,"","","",<-1> ,"","",7.6,<4> ,4,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 22:00,1,0,"",27.4,<4> ,0.2,<4> ,0.1,<4> ,82.6,<4> ,6.5,<4> ,2.14,<4> ,"","","",<-1> ,"","",7.6,<4> ,5,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 22:30,1,0,"",27.1,<4> ,0.2,<4> ,0.1,<4> ,77.7,<4> ,6.2,<4> ,2.05,<4> ,"","","",<-1> ,"","",7.5,<4> ,8,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 23:00,1,0,"",26.8,<4> ,0.2,<4> ,0.1,<4> ,70.4,<4> ,5.6,<4> ,1.96,<4> ,"","","",<-1> ,"","",7.4,<4> ,11,<4> ,"",<-1> ,
"hudtnwq  ","P",07/07/1999 23:30,1,0,"",26.6,<4> ,0.2,<4> ,0.1,<4> ,67.2,<4> ,5.4,<4> ,1.85,<4> ,"","","",<-1> ,"","",7.4,<4> ,8,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 0:00,1,0,"",26.4,<4> ,0.2,<4> ,0.1,<4> ,65.1,<4> ,5.2,<4> ,1.74,<4> ,"","","",<-1> ,"","",7.3,<4> ,10,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 0:30,1,0,"",26.1,<4> ,0.2,<4> ,0.1,<4> ,60.0,<4> ,4.9,<4> ,1.64,<4> ,"","","",<-1> ,"","",7.2,<4> ,11,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 1:00,1,0,"",25.9,<4> ,0.2,<4> ,0.1,<4> ,58.1,<4> ,4.7,<4> ,1.53,<4> ,"","","",<-1> ,"","",7.2,<4> ,18,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 1:30,1,0,"",25.7,<4> ,0.2,<4> ,0.1,<4> ,54.7,<4> ,4.5,<4> ,1.43,<4> ,"","","",<-1> ,"","",7.2,<4> ,20,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 2:00,1,0,"",25.5,<4> ,0.2,<4> ,0.1,<4> ,53.5,<4> ,4.4,<4> ,1.31,<4> ,"","","",<-1> ,"","",7.2,<4> ,19,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 2:30,1,0,"",25.5,<4> ,0.2,<4> ,0.1,<4> ,55.1,<4> ,4.5,<4> ,1.2,<4> ,"","","",<-1> ,"","",7.2,<4> ,17,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 3:00,1,0,"",25.2,<4> ,0.2,<4> ,0.1,<4> ,51.3,<4> ,4.2,<4> ,1.12,<4> ,"","","",<-1> ,"","",7.2,<4> ,25,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 3:30,1,0,"",25.0,<4> ,0.21,<4> ,0.1,<4> ,46.6,<4> ,3.9,<4> ,1.07,<4> ,"","","",<-1> ,"","",7.1,<4> ,15,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 4:00,1,0,"",24.9,<4> ,0.2,<4> ,0.1,<4> ,42.3,<4> ,3.5,<4> ,1.09,<4> ,"","","",<-1> ,"","",7.1,<4> ,10,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 4:30,1,0,"",25.1,<4> ,0.21,<4> ,0.1,<4> ,46.1,<4> ,3.8,<4> ,1.17,<4> ,"","","",<-1> ,"","",7.2,<4> ,17,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 5:00,1,0,"",26.0,<4> ,0.2,<4> ,0.1,<4> ,62.6,<4> ,5.1,<4> ,1.3,<4> ,"","","",<-1> ,"","",7.3,<4> ,11,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 5:30,1,0,"",26.6,<4> ,0.2,<4> ,0.1,<4> ,71.8,<4> ,5.8,<4> ,1.45,<4> ,"","","",<-1> ,"","",7.4,<4> ,16,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 6:00,1,0,"",27.3,<4> ,0.2,<4> ,0.1,<4> ,82.4,<4> ,6.5,<4> ,1.6,<4> ,"","","",<-1> ,"","",7.6,<4> ,10,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 6:30,1,0,"",27.5,<4> ,0.2,<4> ,0.1,<4> ,85.0,<4> ,6.7,<4> ,1.76,<4> ,"","","",<-1> ,"","",7.6,<4> ,11,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 7:00,1,0,"",27.4,<4> ,0.2,<4> ,0.1,<4> ,84.1,<4> ,6.7,<4> ,1.9,<4> ,"","","",<-1> ,"","",7.6,<4> ,8,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 7:30,1,0,"",27.4,<4> ,0.2,<4> ,0.1,<4> ,83.7,<4> ,6.6,<4> ,2.01,<4> ,"","","",<-1> ,"","",7.6,<4> ,7,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 8:00,1,0,"",27.4,<4> ,0.2,<4> ,0.1,<4> ,83.9,<4> ,6.6,<4> ,2.1,<4> ,"","","",<-1> ,"","",7.6,<4> ,7,<4> ,"",<-1> ,
"hudtnwq  ","P",07/08/1999 8:30,1,0,"",27.4,<4> ,0.2,<4> ,0.1,<4> ,84.3,<4> ,6.7,<4> ,2.17,<4> ,"","","",<-1> ,"","",7.6,<4> ,7,<4> ,"",<-1> ,
