"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"hudtnwq  ","P",04/04/2025 9:45,0,0,"",18.1,<0> ,0.26,<0> ,0.1,<0> ,101.4,<0> ,9.6,<0> ,0.17,<0> ,0.09,<1> [GCS],"",<-1> ,"","",7.5,<0> ,1,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 10:00,0,0,"",18.2,<0> ,0.27,<0> ,0.1,<0> ,101.4,<0> ,9.6,<0> ,0.17,<0> ,0.09,<1> [GCS],"",<-1> ,"","",7.5,<0> ,1,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 10:15,0,0,"",18.2,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.6,<0> ,0.17,<0> ,0.09,<1> [GCS],"",<-1> ,"","",7.6,<0> ,1,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 10:30,0,0,"",18.3,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.6,<0> ,0.17,<0> ,0.09,<1> [GCS],"",<-1> ,"","",7.6,<0> ,1,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 10:45,0,0,"",18.3,<0> ,0.27,<0> ,0.1,<0> ,101.4,<0> ,9.5,<0> ,0.16,<0> ,0.08,<1> [GCS],"",<-1> ,"","",7.6,<0> ,1,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 11:00,0,0,"",18.3,<0> ,0.27,<0> ,0.1,<0> ,101.4,<0> ,9.5,<0> ,0.17,<0> ,0.1,<1> [GCS],"",<-1> ,"","",7.6,<0> ,1,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 11:15,0,0,"",18.4,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.5,<0> ,0.17,<0> ,0.1,<1> [GCS],"",<-1> ,"","",7.6,<0> ,1,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 11:30,0,0,"",18.4,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.5,<0> ,0.17,<0> ,0.1,<1> [GCS],"",<-1> ,"","",7.6,<0> ,1,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 11:45,0,0,"",18.4,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.5,<0> ,0.17,<0> ,0.1,<1> [GCS],"",<-1> ,"","",7.6,<0> ,1,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 12:00,0,0,"",18.5,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.5,<0> ,0.16,<0> ,0.09,<1> [GCS],"",<-1> ,"","",7.6,<0> ,1,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 12:15,0,0,"",18.5,<0> ,0.27,<0> ,0.1,<0> ,101.5,<0> ,9.5,<0> ,0.16,<0> ,0.09,<1> [GCS],"",<-1> ,"","",7.6,<0> ,1,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 12:30,0,0,"",18.6,<0> ,0.0,<0> ,0.0,<0> ,101.4,<0> ,9.5,<0> ,0.2,<0> ,0.13,<1> [GCS],"",<-1> ,"","",7.4,<0> ,3,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 12:45,0,0,"",20.0,<0> ,0.0,<0> ,0.0,<0> ,101.9,<0> ,9.3,<0> ,0.25,<0> ,0.18,<1> [GCS],"",<-1> ,"","",6.4,<0> ,3,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 13:15,0,0,"",20.5,<0> ,0.0,<0> ,0.0,<0> ,101.4,<0> ,9.1,<0> ,0.22,<0> ,0.15,<1> [GCS],"",<-1> ,"","",7.3,<0> ,19,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 13:30,0,1,"",13.7,<0> (CND),0.24,<0> (CND),0.1,<0> (CND),100.1,<0> (CND),10.4,<0> (CND),0.68,<0> (CND),0.61,<1> [GCS],"",<-1> ,"","",7.4,<0> (CND),29,<0> (CND),"",<-1> ,
"hudtnwq  ","P",04/04/2025 13:45,0,1,"",13.5,<0> ,0.24,<0> ,0.1,<0> ,101.1,<0> ,10.5,<0> ,0.68,<0> ,"","","",<-1> ,"","",7.3,<0> ,21,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 14:00,0,1,"",13.4,<0> ,0.24,<0> ,0.1,<0> ,101.0,<0> ,10.6,<0> ,0.69,<0> ,0.62,<1> [GCS],"",<-1> ,"","",7.3,<0> ,21,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 14:15,0,1,"",13.1,<0> ,0.24,<0> ,0.1,<0> ,97.9,<0> ,10.3,<0> ,0.7,<0> ,0.63,<1> [GCS],"",<-1> ,"","",7.3,<0> ,17,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 14:30,0,1,"",12.4,<0> ,0.24,<0> ,0.1,<0> ,95.5,<0> ,10.2,<0> ,0.73,<0> ,0.66,<1> [GCS],"",<-1> ,"","",7.3,<0> ,12,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 14:45,0,1,"",12.1,<0> ,0.24,<0> ,0.1,<0> ,97.1,<0> ,10.4,<0> ,0.77,<0> ,0.69,<1> [GCS],"",<-1> ,"","",7.4,<0> ,13,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 15:00,0,1,"",12.1,<0> ,0.25,<0> ,0.1,<0> ,100.9,<0> ,10.8,<0> ,0.82,<0> ,0.74,<1> [GCS],"",<-1> ,"","",7.5,<0> ,20,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 15:15,0,1,"",12.0,<0> ,0.25,<0> ,0.1,<0> ,101.7,<0> ,11.0,<0> ,0.89,<0> ,0.82,<1> [GCS],"",<-1> ,"","",7.5,<0> ,18,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 15:30,0,1,"",11.9,<0> ,0.25,<0> ,0.1,<0> ,103.3,<0> ,11.2,<0> ,0.95,<0> ,0.87,<1> [GCS],"",<-1> ,"","",7.6,<0> ,18,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 15:45,0,1,"",10.9,<0> ,0.24,<0> ,0.1,<0> ,105.5,<0> ,11.7,<0> ,1.0,<0> ,0.92,<1> [GCS],"",<-1> ,"","",7.7,<0> ,19,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 16:00,0,1,"",10.0,<0> ,0.24,<0> ,0.1,<0> ,105.4,<0> ,11.9,<0> ,1.06,<0> ,0.98,<1> [GCS],"",<-1> ,"","",7.7,<0> ,21,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 16:15,0,1,"",9.3,<0> ,0.23,<0> ,0.1,<0> ,104.4,<0> ,12.0,<0> ,1.14,<0> ,1.06,<1> [GCS],"",<-1> ,"","",7.7,<0> ,12,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 16:30,0,1,"",9.2,<0> ,0.24,<0> ,0.1,<0> ,103.9,<0> ,11.9,<0> ,1.21,<0> ,1.13,<1> [GCS],"",<-1> ,"","",7.7,<0> ,10,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 16:45,0,1,"",9.2,<0> ,0.24,<0> ,0.1,<0> ,103.8,<0> ,11.9,<0> ,1.28,<0> ,1.2,<1> [GCS],"",<-1> ,"","",7.7,<0> ,10,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 17:00,0,1,"",9.3,<0> ,0.24,<0> ,0.1,<0> ,103.7,<0> ,11.9,<0> ,1.35,<0> ,1.26,<1> [GCS],"",<-1> ,"","",7.7,<0> ,14,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 17:15,0,1,"",8.8,<0> ,0.24,<0> ,0.1,<0> ,103.2,<0> ,12.0,<0> ,1.41,<0> ,1.32,<1> [GCS],"",<-1> ,"","",7.7,<0> ,10,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 17:30,0,1,"",8.7,<0> ,0.24,<0> ,0.1,<0> ,103.0,<0> ,12.0,<0> ,1.47,<0> ,1.38,<1> [GCS],"",<-1> ,"","",7.7,<0> ,9,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 17:45,0,1,"",8.4,<0> ,0.24,<0> ,0.1,<0> ,102.5,<0> ,12.0,<0> ,1.52,<0> ,1.42,<1> [GCS],"",<-1> ,"","",7.7,<0> ,8,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 18:00,0,1,"",8.4,<0> ,0.23,<0> ,0.1,<0> ,102.5,<0> ,12.0,<0> ,1.56,<0> ,1.46,<1> [GCS],"",<-1> ,"","",7.7,<0> ,8,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 18:15,0,1,"",8.3,<0> ,0.23,<0> ,0.1,<0> ,101.9,<0> ,12.0,<0> ,1.58,<0> ,1.48,<1> [GCS],"",<-1> ,"","",7.7,<0> ,7,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 18:30,0,1,"",8.3,<0> ,0.23,<0> ,0.1,<0> ,101.8,<0> ,12.0,<0> ,1.6,<0> ,1.5,<1> [GCS],"",<-1> ,"","",7.7,<0> ,8,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 18:45,0,1,"",8.3,<0> ,0.23,<0> ,0.1,<0> ,101.4,<0> ,11.9,<0> ,1.61,<0> ,1.51,<1> [GCS],"",<-1> ,"","",7.7,<0> ,7,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 19:00,0,1,"",8.4,<0> ,0.24,<0> ,0.1,<0> ,101.8,<0> ,11.9,<0> ,1.61,<0> ,1.51,<1> [GCS],"",<-1> ,"","",7.7,<0> ,11,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 19:15,0,1,"",8.6,<0> ,0.24,<0> ,0.1,<0> ,101.8,<0> ,11.9,<0> ,1.6,<0> ,1.5,<1> [GCS],"",<-1> ,"","",7.7,<0> ,11,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 19:30,0,1,"",8.5,<0> ,0.24,<0> ,0.1,<0> ,101.8,<0> ,11.9,<0> ,1.59,<0> ,1.48,<1> [GCS],"",<-1> ,"","",7.7,<0> ,10,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 19:45,0,1,"",8.6,<0> ,0.24,<0> ,0.1,<0> ,101.7,<0> ,11.9,<0> ,1.57,<0> ,1.46,<1> [GCS],"",<-1> ,"","",7.7,<0> ,10,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 20:00,0,1,"",8.4,<0> ,0.24,<0> ,0.1,<0> ,101.7,<0> ,11.9,<0> ,1.54,<0> ,1.43,<1> [GCS],"",<-1> ,"","",7.7,<0> ,11,<0> ,"",<-1> ,
"hudtnwq  ","P",04/04/2025 20:15,0,1,"",8.4,<0> ,0.23,<0> ,0.1,<0> ,101.6,<0> ,11.9,<0> ,1.51,<0> ,1.39,<1> [GCS],"",<-1> ,"","",7.7,<0> ,9,<0> ,"",<-1> ,
