"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"hudscwq  ","P",04/08/2003 14:30,1,1,"",2.8,<4> ,0.34,<4> ,0.2,<4> ,109.8,<4> ,14.9,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 15:00,1,1,"",2.8,<4> ,0.34,<4> ,0.2,<4> ,107.6,<4> ,14.5,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 15:30,1,1,"",2.8,<4> ,0.34,<4> ,0.2,<4> ,106.4,<4> ,14.4,<4> ,0.37,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 16:00,1,1,"",2.8,<4> ,0.34,<4> ,0.2,<4> ,105.6,<4> ,14.3,<4> ,0.37,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 16:30,1,1,"",2.9,<4> ,0.34,<4> ,0.2,<4> ,105.0,<4> ,14.2,<4> ,0.37,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 17:00,1,1,"",2.9,<4> ,0.34,<4> ,0.2,<4> ,104.4,<4> ,14.1,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 17:30,1,1,"",2.9,<4> ,0.34,<4> ,0.2,<4> ,103.4,<4> ,14.0,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 18:00,1,1,"",2.9,<4> ,0.34,<4> ,0.2,<4> ,103.0,<4> ,13.9,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 18:30,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,102.5,<4> ,13.8,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.1,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 19:00,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,101.9,<4> ,13.7,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 19:30,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,101.2,<4> ,13.7,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 20:00,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,100.7,<4> ,13.6,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 20:30,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,100.5,<4> ,13.6,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 21:00,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,100.3,<4> ,13.5,<4> ,0.39,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 21:30,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,100.3,<4> ,13.5,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 22:00,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,100.2,<4> ,13.5,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 22:30,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,100.1,<4> ,13.5,<4> ,0.37,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 23:00,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,99.8,<4> ,13.5,<4> ,0.38,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/08/2003 23:30,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,99.7,<4> ,13.4,<4> ,0.37,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"hudscwq  ","P",04/09/2003 0:00,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,99.8,<4> ,13.5,<4> ,0.37,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"hudscwq  ","P",04/09/2003 0:30,1,1,"",2.9,<4> ,0.34,<4> ,0.2,<4> ,99.8,<4> ,13.5,<4> ,0.37,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/09/2003 1:00,1,1,"",2.9,<4> ,0.35,<4> ,0.2,<4> ,99.8,<4> ,13.5,<4> ,0.37,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"hudscwq  ","P",04/09/2003 1:30,1,1,"",2.8,<4> ,0.35,<4> ,0.2,<4> ,99.7,<4> ,13.5,<4> ,0.37,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"hudscwq  ","P",04/09/2003 2:00,1,1,"",2.8,<4> ,0.35,<4> ,0.2,<4> ,99.7,<4> ,13.5,<4> ,0.36,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"hudscwq  ","P",04/09/2003 2:30,1,1,"",2.8,<4> ,0.35,<4> ,0.2,<4> ,99.6,<4> ,13.5,<4> ,0.36,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"hudscwq  ","P",04/09/2003 3:00,1,1,"",2.8,<4> ,0.35,<4> ,0.2,<4> ,99.6,<4> ,13.5,<4> ,0.37,<4> ,"",<-1> [GCU],"",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
