"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"hudscwq  ","P",03/31/2005 15:00,1,1,"",8.2,<4> ,0.24,<4> ,0.1,<4> ,110.9,<4> ,13.1,<4> ,0.89,<1> ,"",<-1> [GCU],"",<-1> ,"","",7.9,<4> ,6,<4> ,"",<-1> ,
"hudscwq  ","P",03/31/2005 15:30,1,1,"",8.3,<4> ,0.24,<4> ,0.1,<4> ,110.0,<4> ,12.9,<4> ,0.89,<1> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,7,<4> ,"",<-1> ,
"hudscwq  ","P",03/31/2005 16:00,1,1,"",8.4,<4> ,0.24,<4> ,0.1,<4> ,109.2,<4> ,12.8,<4> ,0.9,<1> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,7,<4> ,"",<-1> ,
"hudscwq  ","P",03/31/2005 16:30,1,1,"",8.5,<4> ,0.24,<4> ,0.1,<4> ,108.6,<4> ,12.7,<4> ,0.89,<1> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,7,<4> ,"",<-1> ,
"hudscwq  ","P",03/31/2005 17:00,1,1,"",8.6,<4> ,0.24,<4> ,0.1,<4> ,108.0,<4> ,12.6,<4> ,0.89,<1> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,7,<4> ,"",<-1> ,
"hudscwq  ","P",03/31/2005 17:30,1,1,"",8.7,<4> ,0.24,<4> ,0.1,<4> ,107.7,<4> ,12.5,<4> ,0.89,<1> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,7,<4> ,"",<-1> ,
"hudscwq  ","P",03/31/2005 18:00,1,1,"",8.7,<4> ,0.25,<4> ,0.1,<4> ,107.1,<4> ,12.5,<4> ,0.89,<1> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,6,<4> ,"",<-1> ,
"hudscwq  ","P",03/31/2005 18:30,1,1,"",8.7,<4> ,0.24,<4> ,0.1,<4> ,106.8,<4> ,12.4,<4> ,0.88,<1> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,7,<4> ,"",<-1> ,
"hudscwq  ","P",03/31/2005 19:00,1,1,"",8.8,<4> ,0.25,<4> ,0.1,<4> ,106.6,<4> ,12.4,<4> ,0.88,<1> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,7,<4> ,"",<-1> ,
"hudscwq  ","P",03/31/2005 19:30,1,1,"",8.8,<4> ,0.25,<4> ,0.1,<4> ,106.3,<4> ,12.4,<4> ,0.89,<1> ,"",<-1> [GCU],"",<-1> ,"","",7.8,<4> ,7,<4> ,"",<-1> ,
